1	425.00	0.00
2	421.36	55.47
3	410.52	110.00
4	392.65	162.64
5	368.06	212.50
6	337.18	258.72
7	300.52	300.52
8	258.72	337.18
9	212.50	368.06
10	162.64	392.65
11	110.00	410.52
12	55.47	421.36
13	0.00	425.00
14	-55.47	421.36
15	-110.00	410.52
16	-162.64	392.65
17	-212.50	368.06
18	-258.72	337.18
19	-300.52	300.52
20	-337.18	258.72
21	-368.06	212.50
22	-392.65	162.64
23	-410.52	110.00
24	-421.36	55.47
25	-425.00	0.00
26	-421.36	-55.47
27	-410.52	-110.00
28	-392.65	-162.64
29	-368.06	-212.50
30	-337.18	-258.72
31	-300.52	-300.52
32	-258.72	-337.18
33	-212.50	-368.06
34	-162.64	-392.65
35	-110.00	-410.52
36	-55.47	-421.36
37	-0.00	-425.00
38	55.47	-421.36
39	110.00	-410.52
40	162.64	-392.65
41	212.50	-368.06
42	258.72	-337.18
43	300.52	-300.52
44	337.18	-258.72
45	368.06	-212.50
46	392.65	-162.64
47	410.52	-110.00
48	421.36	-55.47
49	466.50	30.58
50	458.52	91.20
51	442.69	150.27
52	419.29	206.77
53	388.71	259.73
54	351.49	308.24
55	308.24	351.49
56	259.73	388.71
57	206.77	419.29
58	150.27	442.69
59	91.20	458.52
60	30.58	466.50
61	-30.58	466.50
62	-91.20	458.52
63	-150.27	442.69
64	-206.77	419.29
65	-259.73	388.71
66	-308.24	351.49
67	-351.49	308.24
68	-388.71	259.73
69	-419.29	206.77
70	-442.69	150.27
71	-458.52	91.20
72	-466.50	30.58
73	-466.50	-30.58
74	-458.52	-91.20
75	-442.69	-150.27
76	-419.29	-206.77
77	-388.71	-259.73
78	-351.49	-308.24
79	-308.24	-351.49
80	-259.73	-388.71
81	-206.77	-419.29
82	-150.27	-442.69
83	-91.20	-458.52
84	-30.58	-466.50
85	30.58	-466.50
86	91.20	-458.52
87	150.27	-442.69
88	206.77	-419.29
89	259.73	-388.71
90	308.24	-351.49
91	351.49	-308.24
92	388.71	-259.73
93	419.29	-206.77
94	442.69	-150.27
95	458.52	-91.20
96	466.50	-30.58
97	574.69	18.81
98	572.23	56.36
99	567.32	93.66
100	559.98	130.57
101	550.24	166.91
102	538.15	202.54
103	523.75	237.31
104	507.10	271.05
105	488.29	303.64
106	467.39	334.92
107	444.48	364.78
108	419.67	393.07
109	393.07	419.67
110	364.78	444.48
111	334.92	467.39
112	303.64	488.29
113	271.05	507.10
114	237.31	523.75
115	202.54	538.15
116	166.91	550.24
117	130.57	559.98
118	93.66	567.32
119	56.36	572.23
120	18.81	574.69
121	-18.81	574.69
122	-56.36	572.23
123	-93.66	567.32
124	-130.57	559.98
125	-166.91	550.24
126	-202.54	538.15
127	-237.31	523.75
128	-271.05	507.10
129	-303.64	488.29
130	-334.92	467.39
131	-364.78	444.48
132	-393.07	419.67
133	-419.67	393.07
134	-444.48	364.78
135	-467.39	334.92
136	-488.29	303.64
137	-507.10	271.05
138	-523.75	237.31
139	-538.15	202.54
140	-550.24	166.91
141	-559.98	130.57
142	-567.32	93.66
143	-572.23	56.36
144	-574.69	18.81
145	-574.69	-18.81
146	-572.23	-56.36
147	-567.32	-93.66
148	-559.98	-130.57
149	-550.24	-166.91
150	-538.15	-202.54
151	-523.75	-237.31
152	-507.10	-271.05
153	-488.29	-303.64
154	-467.39	-334.92
155	-444.48	-364.78
156	-419.67	-393.07
157	-393.07	-419.67
158	-364.78	-444.48
159	-334.92	-467.39
160	-303.64	-488.29
161	-271.05	-507.10
162	-237.31	-523.75
163	-202.54	-538.15
164	-166.91	-550.24
165	-130.57	-559.98
166	-93.66	-567.32
167	-56.36	-572.23
168	-18.81	-574.69
169	18.81	-574.69
170	56.36	-572.23
171	93.66	-567.32
172	130.57	-559.98
173	166.91	-550.24
174	202.54	-538.15
175	237.31	-523.75
176	271.05	-507.10
177	303.64	-488.29
178	334.92	-467.39
179	364.78	-444.48
180	393.07	-419.67
181	419.67	-393.07
182	444.48	-364.78
183	467.39	-334.92
184	488.29	-303.64
185	507.10	-271.05
186	523.75	-237.31
187	538.15	-202.54
188	550.24	-166.91
189	559.98	-130.57
190	567.32	-93.66
191	572.23	-56.36
192	574.69	-18.81
